signal
1587
1588
1589
1589
1588
1582
1592
1585
1591
1597
1588
1593
1583
1592
1592
1590
1599
1594
1592
1591
1598
1579
1577
1598
1593
1592
1591
1594
1588
1594
1591
1591
1589
1589
1586
1583
1599
1581
1597
1606
1583
1594
1589
1588
1592
1587
1591
1586
1591
1596
1590
1586
1591
1595
1589
1593
1593
1588
1599
1589
1581
1589
1594
1589
1588
1596
1603
1586
1589
1581
1592
1592
1592
1596
1589
1600
1588
1594
1584
1592
1589
1585
1581
1600
1583
1587
1594
1595
1593
1594
1563
1569
1584
1591
1576
1594
1596
1587
1592
1593
1581
1587
1585
1584
1592
1584
1577
1589
1598
1589
1592
1589
1591
1579
1594
1589
1592
1586
1584
1598
1593
1594
1588
1589
1588
1592
1593
1592
1591
1590
1587
1589
1591
1590
1588
1587
1578
1582
1594
1589
1591
1581
1594
1588
1594
1584
1595
1587
1588
1592
1589
1595
1579
1589
1589
1590
1587
1593
1586
1584
1591
1592
1592
1586
1595
1586
1596
1593
1593
1589
1594
1587
1588
1587
1599
1592
1596
1590
1592
1584
1594
1587
1593
1589
1591
1588
1579
1592
1592
1596
1572
1599
1594
1583
1603
1610
1586
1591
1584
1593
1591
1583
1600
1579
1589
1588
1591
1591
1590
1591
1589
1588
1597
1594
1594
1583
1589
1588
1594
1576
1592
1589
1588
1591
1588
1586
1588
1577
1596
1582
1597
1591
1594
1587
1587
1589
1591
1599
1588
1591
1594
1591
1600
1592
1599
1582
1591
1593
1584
1589
1591
1592
1591
1589
1591
1589
1599
1592
1590
1590
1589
1593
1592
1603
1586
1587
1586
1593
1599
1584
1593
1587
1597
1595
1594
1603
1587
1590
1596
1589
1596
1594
1583
1587
1594
1588
1589
1587
1596
1590
1593
1591
1592
1588
1590
1584
1569
1589
1580
1582
1603
1593
1589
1593
1592
1581
1592
1599
1590
1591
1595
1588
1589
1587
1590
1601
1587
1585
1587
1572
1589
1598
1596
1592
1592
1588
1586
1586
1586
1592
1588
1586
1590
1594
1587
1591
1589
1588
1591
1591
1585
1589
1589
1587
1591
1589
1592
1588
1589
1593
1590
1591
1591
1593
1587
1592
1589
1591
1603
1589
1588
1596
1584
1582
1590
1594
1588
1595
1586
1586
1599
1588
1592
1588
1589
1591
1588
1591
1588
1594
1589
1594
1589
1591
1591
1595
1591
1594
1592
1593
1587
1592
1581
1596
1582
1594
1606
1598
1582
1577
1595
1589
1594
1595
1583
1599
1590
1592
1591
1589
1586
1593
1587
1592
1589
1594
1588
1599
1589
1589
1591
1587
1584
1586
1589
1589
1586
1591
1596
1588
1590
1590
1589
1579
1590
1594
1593
1591
1593
1589
1586
1591
1599
1561
1604
1589
1596
1594
1601
1580
1594
1592
1588
1599
1589
1582
1588
1588
1594
1587
1589
1591
1584
1591
1591
1591
1589
1590
1605
1584
1593
1584
1589
1589
1588
1591
1594
1591
1591
1582
1593
1567
1579
1616
1611
1588
1599
1581
1594
1594
1589
1589
1584
1594
1580
1592
1596
1589
1595
1610
1591
1597
1595
1625
1590
1633
1587
1594
1589
1589
1613
1583
1574
1588
1589
1648
1573
1587
1592
1595
1587
1594
1592
1589
1590
1591
1596
1587
1585
1593
1589
1593
1588
1588
1593
1583
1590
1589
1584
1592
1595
1592
1583
1589
1583
1594
1592
1589
1595
1592
1588
1591
1587
1574
1587
1603
1591
1573
1588
1593
1594
1588
1580
1591
1599
1586
1597
1586
1589
1594
1584
1589
1594
1580
1592
1589
1595
1588
1594
1588
1589
1589
1593
1590
1590
1591
1586
1585
1593
1588
1579
1592
1595
1593
1592
1586
1590
1579
1589
1593
1591
1592
1587
1589
1587
1592
1591
1593
1586
1589
1590
1592
1603
1592
1593
1592
1595
1596
1588
1582
1594
1586
1583
1598
1599
1586
1590
1589
1587
1591
1587
1590
1588
1592
1591
1594
1589
1591
1593
1589
1591
1584
1585
1585
1591
1590
1589
1589
1587
1594
1582
1591
1588
1598
1593
1590
1589
1594
1594
1589
1591
1589
1584
1589
1588
1590
1594
1594
1589
1599
1594
1589
1590
1587
1594
1594
1584
1604
1599
1595
1589
1590
1594
1587
1582
1588
1589
1589
1593
1592
1592
1589
1588
1589
1588
1593
1587
1588
1588
1594
1584
1592
1588
1591
1589
1590
1594
1593
1589
1590
1588
1591
1590
1586
1593
1590
1590
